Ref,TempExp,TempExpNum,Pop,Tpop,Predpop,Mortality,InWeight,OutWeight,Deg_Weight,MeanPopT_Deg_Weight,Deg_Pourc,Deg_PourcPT,DecompRate,MeanPopT_DecompRate,DecompRateCorr,MeanPopT_DecompRateCorr,DecompRatePerDCorr,MeanPopT_DecompRatePerDCorr,DecompRatePerDPerAzCorr,MeanPopT_DecompRatePerDPerAzCorr,MeanMassPop,MeanSizePop,MeanSlopePopPTDec,MeanSlopePopPTDecPos
T27b_C31,T27,27,C3,Ambiant,Pred,3,1.01,0.69,0.32,0.383333333,"316,831,683,168,317",NA,"316,831,683,168,317","342,760,093,766,386","219,683,093,168,317","245,611,503,766,386","129,225,348,922,539","144,477,355,156,698",0.129225349,0.144477355,"24,961,078","1,577,175",-0.010430788,0.010430788
T27d_C33,T27,27,C3,Ambiant,Pred,2,1.04,0.65,0.39,0.383333333,37.5,NA,37.5,"342,760,093,766,386","27,785,141","245,611,503,766,386","163,442,005,882,353","144,477,355,156,698",0.163442006,0.144477355,"24,961,078","1,577,175",-0.010430788,0.010430788
T05a_C51,T05,5,C5,Ambiant,Ctrl,2,1.06,0.84,0.22,0.2,"207,547,169,811,321","188,679,245,283,019","207,547,169,811,321","186,683,599,419,449","110,398,579,811,321","915,306,552,830,189",0.649403411,0.538415619,0.064940341,0.053841562,"18,673,392","13,792",-0.004648454,0.004648454
T05b_C52,T05,5,C5,Ambiant,Ctrl,3,1.06,0.88,0.18,0.2,"169,811,320,754,717",NA,"169,811,320,754,717","186,683,599,419,449","72,662,730,754,717","915,306,552,830,189",0.427427828,0.538415619,0.042742783,0.053841562,"18,673,392","13,792",-0.004648454,0.004648454
T15a_C51,T15,15,C5,Ambiant,Ctrl,3,1.02,0.77,0.25,0.283333333,"245,098,039,215,686","272,071,866,966,428","245,098,039,215,686","272,071,866,966,429","147,949,449,215,686","174,923,276,966,429",0.870290878,"10,289,604,527,437",0.087029088,0.102896045,"18,673,392","13,792",-0.00594112,0.00594112
T15c_C52,T15,15,C5,Ambiant,Ctrl,1,1.06,0.74,0.32,0.283333333,"30,188,679,245,283",NA,"30,188,679,245,283","272,071,866,966,429","20,473,820,245,283","174,923,276,966,429","120,434,236,736,959","10,289,604,527,437",0.120434237,0.102896045,"18,673,392","13,792",-0.00594112,0.00594112
T15d_C53,T15,15,C5,Ambiant,Ctrl,3,1.04,0.76,0.28,0.283333333,"269,230,769,230,769",NA,"269,230,769,230,769","272,071,866,966,429","172,082,179,230,769","174,923,276,966,429","101,224,811,312,217","10,289,604,527,437",0.101224811,0.102896045,"18,673,392","13,792",-0.00594112,0.00594112
T27a_C53,T27,27,C5,Ambiant,Ctrl,1,1.01,0.61,0.4,0.423333333,"396,039,603,960,396","404,147,240,120,838","396,039,603,960,396","404,147,240,120,838","298,891,013,960,396","306,998,650,120,837","175,818,243,506,115","180,587,441,247,551",0.175818244,0.180587441,"18,673,392","13,792",-0.006644121,0.006644121
T27b_C52,T27,27,C5,Ambiant,Ctrl,1,1.05,0.64,0.41,0.423333333,"390,476,190,476,191",NA,"390,476,190,476,191","404,147,240,120,838","293,327,600,476,191","306,998,650,120,837","172,545,647,338,936","180,587,441,247,551",0.172545647,0.180587441,"18,673,392","13,792",-0.006644121,0.006644121
T27c_C51,T27,27,C5,Ambiant,Ctrl,0,1.08,0.62,0.46,0.423333333,"425,925,925,925,926",NA,"425,925,925,925,926","404,147,240,120,838","328,777,335,925,926","306,998,650,120,837","193,398,432,897,603","180,587,441,247,551",0.193398433,0.180587441,"18,673,392","13,792",-0.006644121,0.006644121
