"N_bac","Day","Temperature_moy","Tpop"
"A1",2020-06-20,20.3633333229167,"Ambient"
"A1",2020-06-21,21.2700000173611,"Ambient"
"A1",2020-06-22,22.7178124791667,"Ambient"
"A1",2020-06-23,23.2832986006944,"Ambient"
"A1",2020-06-24,24.3449651909722,"Ambient"
"A1",2020-06-25,24.1523611597222,"Ambient"
"A1",2020-06-26,23.2302777534722,"Ambient"
"A1",2020-06-27,24.0590972118056,"Ambient"
"A1",2020-06-28,23.7560764513889,"Ambient"
"A1",2020-06-29,20.4859722118056,"Ambient"
"A1",2020-06-30,17.3096875625,"Ambient"
"A1",2020-07-01,16.8928819409722,"Ambient"
"A1",2020-07-02,16.7352083229167,"Ambient"
"A1",2020-07-03,16.65232646875,"Ambient"
"A1",2020-07-04,16.7696875104167,"Ambient"
"A1",2020-07-05,17.1678125555556,"Ambient"
"A1",2020-07-06,16.3041318958333,"Ambient"
"A1",2020-07-07,16.9738889444444,"Ambient"
"A1",2020-07-08,17.0592360590278,"Ambient"
"A1",2020-07-09,16.637986125,"Ambient"
"A1",2020-07-10,16.2918055833333,"Ambient"
"A1",2020-07-11,16.6543403993056,"Ambient"
"A1",2020-07-12,16.4828124965278,"Ambient"
"A1",2020-07-13,16.6663888263889,"Ambient"
"A1",2020-07-14,16.5037847256944,"Ambient"
"A1",2020-07-15,16.7394444722222,"Ambient"
"A1",2020-07-16,16.8443056354167,"Ambient"
"A1",2020-07-17,16.8576387638889,"Ambient"
"A1",2020-07-18,17.3757291875,"Ambient"
"A1",2020-07-19,17.6114583125,"Ambient"
"A1",2020-07-20,17.6264930590278,"Ambient"
"A1",2020-07-21,17.5797569375,"Ambient"
"A1",2020-07-22,17.4630903263889,"Ambient"
"A1",2020-07-23,17.60076396875,"Ambient"
"A1",2020-07-24,17.10423609375,"Ambient"
"A1",2020-07-25,17.5069790520833,"Ambient"
"A1",2020-07-26,19.0927081701389,"Ambient"
