"Ref","ID_photo","Reader","Round","PopInd","Pop","TempExp","TempExpNum","Tpop","Predpop","Survival","Naivety","Remarks","Length","EvolHistory"
"T15_B9_Az17_B1","IMG_3055",715,1,"B9_Az17","B9","T15",15,"Warm","Pred","Yes","None","None",0.14,"Pred_Warm"
"T15_B9_Az9_D4","IMG_3027",715,1,"B9_Az9","B9","T15",15,"Warm","Pred","Yes","None","None",0.126,"Pred_Warm"
"T15_C1_Az15_A4","IMG_3022",715,1,"C1_Az15","C1","T15",15,"Ambiant","Pred","Yes","None","None",0.136,"Pred_Ambiant"
"T15_C1_Az1_A2","IMG_3104",727,1,"C1_Az1","C1","T15",15,"Ambiant","Pred","Yes","None","None",0.157,"Pred_Ambiant"
"T15_C1_Az18_A5","IMG_3072",727,1,"C1_Az18","C1","T15",15,"Ambiant","Pred","Yes","None","None",0.141,"Pred_Ambiant"
"T15_C3_Az6_B2","IMG_3106",727,1,"C3_Az6","C3","T15",15,"Ambiant","Pred","Yes","None","None",0.136,"Pred_Ambiant"
"T15_C3_Az9_C4","IMG_3086",727,1,"C3_Az9","C3","T15",15,"Ambiant","Pred","Yes","None","None",0.164,"Pred_Ambiant"
"T15_C5_Az8_B6","IMG_3005",715,1,"C5_Az8","C5","T15",15,"Ambiant","Ctrl","Yes","None","None",0.125,"Ctrl_Ambiant"
"T15_C5_Az1_D2","IMG_3114",727,1,"C5_Az1","C5","T15",15,"Ambiant","Ctrl","Yes","None","None",0.145,"Ctrl_Ambiant"
"T15_C5_Az16_B5","IMG_3074",727,1,"C5_Az16","C5","T15",15,"Ambiant","Ctrl","Yes","None","None",0.117,"Ctrl_Ambiant"
"T15_C8_Az7_B3","IMG_3035",715,1,"C8_Az7","C8","T15",15,"Warm","Pred","Yes","None","None",0.118,"Pred_Warm"
"T15_C8_Az14_C5","IMG_3079",727,1,"C8_Az14","C8","T15",15,"Warm","Pred","Yes","None","None",0.118,"Pred_Warm"
"T15_C9_Az1_D2","IMG_3051",715,1,"C9_Az1","C9","T15",15,"Ambiant","Pred","Yes","None","None",0.136,"Pred_Ambiant"
"T15_C9_Az10_B4","IMG_3083",727,1,"C9_Az10","C9","T15",15,"Ambiant","Pred","Yes","None","None",0.117,"Pred_Ambiant"
"T15_D6_Az14_D1","IMG_3061",715,1,"D6_Az14","D6","T15",15,"Ambiant","Ctrl","Yes","None","None",0.105,"Ctrl_Ambiant"
"T15_D6_Az4_B2","IMG_3048",715,1,"D6_Az4","D6","T15",15,"Ambiant","Ctrl","Yes","None","None",0.146,"Ctrl_Ambiant"
"T15_D6_Az17_A3","IMG_3095",727,1,"D6_Az17","D6","T15",15,"Ambiant","Ctrl","Yes","None","None",0.13,"Ctrl_Ambiant"
"T15_D7_Az10_A2","IMG_3045",715,1,"D7_Az10","D7","T15",15,"Warm","Ctrl","Yes","None","None",0.167,"Ctrl_Warm"
"T15_D7_Az20_A4","IMG_3082",727,1,"D7_Az20","D7","T15",15,"Warm","Ctrl","Yes","None","None",0.087,"Ctrl_Warm"
"T20_A1_Az11_A3","IMG_3157",715,1,"A1_Az11","A1","T20",20,"Ambiant","Ctrl","Yes","None","None",0.129,"Ctrl_Ambiant"
"T20_A1_Az16_C5","IMG_3145",715,1,"A1_Az16","A1","T20",20,"Ambiant","Ctrl","Yes","None","None",0.102,"Ctrl_Ambiant"
"T20_A1_Az1_B1","IMG_3246",727,1,"A1_Az1","A1","T20",20,"Ambiant","Ctrl","Yes","None","None",0.103,"Ctrl_Ambiant"
"T20_B1_Az10_C6","IMG_3136",715,1,"B1_Az10","B1","T20",20,"Warm","Ctrl","Yes","None","None",0.136,"Ctrl_Warm"
"T20_B1_Az3_C2","IMG_3240",727,1,"B1_Az3","B1","T20",20,"Warm","Ctrl","Yes","None","None",0.166,"Ctrl_Warm"
"T20_B2_Az5_D3","IMG_3164",715,1,"B2_Az5","B2","T20",20,"Ambiant","Ctrl","Yes","None","None",0.135,"Ctrl_Ambiant"
"T20_B2_Az18_D4","IMG_3220",727,1,"B2_Az18","B2","T20",20,"Ambiant","Ctrl","Yes","None","None",0.131,"Ctrl_Ambiant"
"T20_B4_Az11_C3","IMG_3163",715,1,"B4_Az11","B4","T20",20,"Ambiant","Pred","Yes","None","None",0.143,"Pred_Ambiant"
"T20_B4_Az12_C1","IMG_3180",715,1,"B4_Az12","B4","T20",20,"Ambiant","Pred","Yes","None","None",0.137,"Pred_Ambiant"
"T20_B4_Az4_D3","IMG_3228",727,1,"B4_Az4","B4","T20",20,"Ambiant","Pred","Yes","None","None",0.143,"Pred_Ambiant"
"T20_B5_Az18_A5","IMG_3139",715,1,"B5_Az18","B5","T20",20,"Warm","Pred","Yes","None","None",0.128,"Pred_Warm"
